AcceptedTaxonID	CommonName	TransliteratedName	Country	Area	Language	ReferenceID	
378343	Mexican fiddler				English	102812	
422168	marbled fiddler				English	102812	
378376	Gulf marsh fiddler				English	102812	
378377	Olmec fiddler				English	102812	
158461	red-joint fiddler				English	102812	
378356	Gulf sand fiddler				English	102812	
158463	Atlantic marsh fiddler				English	102812	
378379	mudflat fiddler				English	102812	
378360	longfinger fiddler				English	102812	
378363	Laguna Madre fiddler				English	102812	
378381	Atlantic mangrove fiddler				English	102812	
378384	Atlantic hairback fiddler				English	102812	
422170	swamp ghost crab				English	102812	
422171	Antillean stilt crab				English	102812	
422172	labile stilt crab				English	102812	
422174	bathyal stilt crab				English	102812	
422175	armored stilt crab				English	102812	
422177	finned stilt crab				English	102812	
422180	delicate stilt crab				English	102812	
422181	inflated stilt crab				English	102812	
442195	winged stilt crab				English	102812	
107303	crabe en forme de noix				French	163039	
107414	xanthe				French	163040	
107414	crabe de boue				French	163040	
107327	crabe fantôme				French	51	
378376	tou-la-lou				Hawaiian	102812	
207541	'a'aama				Hawaiian	102812	
107455	Мраморный краб				Russian	147411	
107303	cangrejo guisante				Spanish	163039	
107455	Краб мармуровий 				Ukrainian	147411	
107455	Мармуровий краб				Ukrainian	147411	
107409	gërthia helmuese e bregut				Albanian	151643	
107409	gërthia me lythe				Albanian	151643	
107451	uldhåndskrabbe				Danish	147411	
107451	kinesiske uldhandskrabbe				Danish		
107451	Chinesische Wollhandkrabbe				German		
107451	Wollhandkrabbe				German	147412	
107451	Chinese wolhandkrab				Dutch	51	
107451	wolhandkrab				Dutch	51	
107451	Chinese krab				Dutch	51	
107451	Chinese kreeft				Dutch	51	
107451	wolpootkrab				Dutch	51	
158046	speckled swimming crab				English	2901	
107284	broadback sumo crab				English	2901	
107451	Shanghai hairy crab				English		
107451	Chinese freshwater edible crab				English		
107451	Chinese mitten crab				English	51	
107409	warty crab				English		
107409	yellow crab				English		
421914	stalkeye sumo crab				English	102812	
421915	spiketoe sumo crab				English	102812	
421916	truncate sumo crab				English	102812	
209493	abyssal sumo crab				English	102812	
421921	nodose box crab				English	102812	
421933	carinate clutch crab				English	102812	
440405	hair crab				English	102812	
208767	sea cucumber crab				English	102812	
422061	bimarginate bathyal crab				English	102812	
207602	smooth redeye crab				English	102812	
440488	rough redeye crab				English	102812	
422083	Florida grassflat crab				English	102812	
422093	areolated hairy crab				English	102812	
444237	ninetooth pebble crab				English	102812	
209115	smooth spooner				English	102812	
209109	splendid pebble crab				English	102812	
209000	strawberry crab				English	102812	
444437	Kahe Point crab				English	102812	
445239	burrow pea crab				English	102812	
107451	villasaksirapu				Finnish		
107451	crabe chinois				French	51	
107451	crabe poilu de Shangai				French	163040	
107451	crabe chinois à mitaines				French	163040	
107409	Πετροκάβουρας				Modern Greek (1453-)	147411	
209109	kūmimi				Hawaiian	102812	
209109	papa`i-au-moana				Hawaiian	102812	
107451	kinaullhandskrabbe				Norwegian Nynorsk	147411	
107451	kinaullhåndskrabbe				Norwegian Bokmål	147411	
107451	krab wełnistoszczypcy				Polish	147411	
107409	Каменный краб				Russian	147411	
107451	kinesisk ullhandskrabba				Swedish	147411	
