name_code	common_name	database_id
fer-s.3033	Ferny Azolla	140
fer-s.3033	Pacific Azolla	140
fer-s.3033	Feathered mosquitofern	140
fer-s.3034	African Azolla	140
fer-3049	Kissenfarn (DE); Helecho colchonero (ES)	140
fer-3073	Scythian Lamb	140
fer-3073	Golden Chicken Fern	140
fer-3074	Man fern	140
fer-3076	Hawaiian tree fern (hapu)	140
fer-3079	Royal cibotium	140
fer-3080	Mexican tree fern	140
fer-3133	West Indian tree fern	140
fer-3155	Rough tree fern	140
fer-s.3155	Rough tree fern	140
fer-3162	Wig tree fern	140
fer-3205	Norfolk Isl. tree fern	140
fer-3221	Forest Tree Fern	140
fer-3247	Mountain tree fern	140
fer-3247	Golden tree fern	140
fer-3259	Lacy tree fern	140
fer-3277	Gully tree fern	140
fer-3277	Slender tree fern	140
fer-3286	Silver fern	140
fer-3286	Ponga	140
fer-3313	Common Tree Fern	140
fer-3366	Korallen-Baumfarn	140
fer-3397	Prickly-stemmed tree fern.	140
fer-3449	Prickly tree fern	140
fer-3451	Flying Spider-monkey tree fern	140
fer-3493	Black tree fern	140
fer-3493	Mamaku	140
fer-3493	Korau (Maori)	140
fer-3493	Sago tree fern	140
fer-3682	Soft tree fern	140
fer-3682	Katote (Maori)	140
fer-3788	Skirted tree fern	140
fer-3801	False bracken	140
fer-3815	Woolly tree fern	140
fer-3815	Wheki-ponga	140
fer-3815	Kuripaka (Maori)	140
fer-3819	Tuokuro (Maori)	140
fer-s.3819	Tuokuro (Maori)	140
fer-3827	Rough tree fern	140
fer-3827	Wheki (Maori)	140
fer-3827	Slender tree fern	140
fer-3831	Bristly tree fern	140
fer-3990	Screw fern	140
fer-3999	Lacy wedge fern	140
fer-4121	Thicket creepingfern	140
fer-4130	Wedgelet Fern	140
fer-4130	Clubbed creepingfern	140
fer-4229	Bipinnate Cuplet Fern	140
fer-4231	Tropical hayscented fern	140
fer-4233	Lacy ground fern	140
fer-4242	Beaded Cuplet Fern	140
fer-4242	Southern hayscented fern	140
fer-4262	Eastern hayscented fern	140
fer-4294	Adlerfarn (DE); Southern Bracken (EN); Helecho comun (ES)	140
fer-s.4294	Adlerfarn (DE); Southern Bracken (EN); Helecho comun (ES)	140
fer-4300	Southern brackenfern	140
fer-4304	Western brackenfern	140
fer-s.4304	Western brackenfern	140
fer-s.4305	Western brackenfern	140
fer-s.4308	Hairy brackenfern	140
fer-4309	Hairy bracken	140
fer-4313	Northern bracken	140
fer-4325	Hard fern	140
fer-4325	Scented fern	140
fer-4325	Ring fern	140
fer-4325	Lace fern	140
fer-4325	Matata (Maori)	140
fer-4330	Austral Ground fern	140
fer-4364	Dissected ground fern	140
fer-4364	Thousand-leaved fern	140
fer-4368	Harsh Ground fern	140
fer-4379	Creeping Bramble Fern	140
fer-4380	Downy Ground fern	140
