ReferenceID,Year,Title,Details,Authors
124735,2011,"Kew Bulletin","Vol.: 66 Issue: 2 p. 276","Baumgratz, Amorim & A. B. Jardim"
124736,2011,Brittonia,"Vol.: 63 Issue: 4 p. 425","Becquer & Michelangeli"
124737,2011,"SIDA, Contributions to Botany","Vol.: 34 p. 210","F. S. Axelrod"
124738,2011,"SIDA, Contributions to Botany","Vol.: 34 p. 211","F. S. Axelrod"
124739,2011,"SIDA, Contributions to Botany","Vol.: 34 p. 214","F. S. Axelrod"
182836,1805,"Syn. Pl. ","Vol.: 1 p. 477",Pers.
189762,1847,"J. Hort. Soc. London ","Vol.: 3 p. 74",Lindl.
199985,1886,"Jahrb. Bot. Gart. Berl.","Vol.: 4 p. 277",Cogn.
208045,1823,"Mem. Wern. Nat. Hist. Soc. ","Vol.: 4 p. 309",D.Don
208046,1828,"Prodr. ","Vol.: 3 p. 162",DC.
208048,1982,Phytologia,"Vol.: 50 p. 168",Alain
208050,1828,"Prodr. (DC.)","Vol.: 3 p. 159",DC.
208051,1891,"Monogr. Phan. ","Vol.: 7 p. 1019","Cogn. in A.DC. & C.DC."
217267,1872,"Trans. Linn. Soc. London ","Vol.: 28 Issue: 1 p. 58",Triana
237608,1991,"Bull. Florida State Mus., Biol. Sci. ","Vol.: 36 Issue: 2 p. 61","Judd & Skean"
245180,1993,"Syst. Bot. Monogr. ","Vol.: 39 p. 66",Skean
245445,1850,"Paxton's Fl. Gard.","Vol.: 1 p. 55",Lindl.
245642,1775,"Hist. Pl. Guiane ","Vol.: 1 p. 430",Aubl.
245643,1823,"Mem. Wern. Nat. Hist. Soc. ","Vol.: 4 p. 288",D.Don
245644,1788,"Prodr. ","p. 71",Sw.
245645,1753,"Sp. Pl. ","Vol.: 7 p. 35",L.
245647,1759,"Syst. Nat., ed. 10","Vol.: 2 p. 1022",L.
245648,1753,"Sp. Pl. ","Vol.: 1 p. 390",L.
245650,1797,"Encycl. (Lamarck)","Vol.: 4 p. 50",Desr.
245651,1821,"Bot. Mag. ","Vol.: 48",Sims
245652,1759,"Syst. Nat. (ed. 10) ","Vol.: 2 p. 1022",L.
245654,1788,"Prodr. 72",,Sw.
246442,1886,"Jahrb. Königl. Bot. Gart. Berlin ","Vol.: 4 p. 281",Cogn.
246443,1828,Prodr.,"Vol.: 3 p. 183","D.Don ex DC."
246446,1871,"Trans. Linn. Soc. London ","Vol.: 28 Issue: 1 p. 113",Triana
246448,1963,"Fieldiana, Bot. ","Vol.: 29 Issue: 10 p. 574",L.O.Williams
246450,1886,"Jahrb. Königl. Bot. Gart. Berlin","Vol.: 4 p. 279",Cogn.
246451,1828,Prodr.,"Vol.: 3 p. 188",DC.
246454,1828,Prodr.,"Vol.: 3 p. 179",DC.
246455,1828,Prodr.,"Vol.: 3 p. 183",DC.
246457,1886,"Jahrb. Königl. Bot. Gart. Berlin","Vol.: 4 p. 281",Cogn.
246458,1860,"Fl. Brit. W. Indian Is.","p. 256",Griseb.
246463,1828,Prod.,"Vol.: 3 p. 189",DC.
246464,1871,"Trans. Linn. Soc. London ","Vol.: 28 Issue: 1 p. 107",Triana
248927,1835,"Hist. Nat. Veg. ","Vol.: 4 p. 276",Spach
252257,1891,"Monogr. Phan. ","Vol.: 7 p. 1048","Cogn. in A.DC. & C.DC."
252258,1828,"Prodr. ","Vol.: 3 p. 169",DC.
252259,1828,"Prodr. ","Vol.: 3 p. 168",DC.
252547,1828,"Prodr. ","Vol.: 3 p. 123",DC.
264524,1803,"Fl. Bor.-Amer. ","Vol.: 1 p. 221",Michx.
264526,1903,"Fl. S.E. U.S. ",,Small
264527,1898,"Bull. Torrey Bot. Club ","Vol.: 25 Issue: 9 p. 468",Small
264528,1803,"Fl. Bor.-Amer. ","Vol.: 1 p. 222",Michx.
264529,1918,"Bull. Torrey Bot. Club ","Vol.: 45 p. 480",Pennell
264533,1753,"Sp. Pl. ","Vol.: 1 p. 346",L.
264535,1969,"Sida ","Vol.: 3 Issue: 6 p. 410","Kral & Bostick"
264538,1803,"Fl. Bor.-Amer. ","Vol.: 1 p. 221",Michx.
264540,1903,"Fl. S.E. U.S. 824, 1335. 1903",,Small
264541,1956,"Brittonia ","Vol.: 8 p. 214",C.W.James
264544,1969,"Sida ","Vol.: 3 Issue: 6 p. 402","Kral & Bostick"
264545,1818,Gen.,"Vol.: 1 p. 243",Nutt.
264548,1753,"Sp. Pl. ","Vol.: 1 p. 346",L.
267344,1828,Prod.,"Vol.: 3 p. 171",DC.
275824,1775,"Hist. Pl. Guiane ","Vol.: 1 p. 441",Aubl.
276971,1886,"Jahrb. Konigl. Bot. Gart. Berlin ","Vol.: 4 p. 279",Cogn.
277440,1885,"Fl. Bras. ","Vol.: 14 Issue: 3 p. 340","Cogn. in Mart."
277441,1885,"Fl. Bras. (Martius) ","Vol.: 14 Issue: 3 p. 408",Cogn.
277443,1885,"Fl. Bras. (Martius) ","Vol.: 14 Issue: 3 p. 358",Cogn.
278241,1828,Prodr.,"Vol.: 3 p. 126",DC.
311265,1897,"Nat. Pflanzenfam. Nachtr. ","Vol.: 1 p. 264","Gilg in Engl. & Prantl"
314483,1851,"Ann. Sci. Nat., Bot., sér. 3, ","Vol.: 15 p. 51",Naudin
315566,1995,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","Vol.: 16 p. 270",Jacq.-Fél.
320459,1981,"Bull. Mus. Natl. Hist. Nat., B, Adansonia ","Vol.: 3 p. 136",Jacq.-Fél.
320461,1891,"Monogr. Phan. [A.DC. & C.DC.]","Vol.: 7 p. 524",Cogn.
320462,1974,"Bull. Jard. Bot. Natl. Belg.","Vol.: 44 p. 167",Jacq.-Fél.
320464,1895,"Pflanzenw. Ost-Afrikas ","Vol.: C p. 296",Taub.
320465,1921,"Pflanzenw. Ost-Afrikas ","Vol.: 3 Issue: 2 p. 757","Gilg ex Engl."
320466,1910,"Compagnie du Kasai","p. 377","De Wild."
320467,1915,"Bull. Jard. Bot. État Bruxelles","Vol.: 5 p. 81","De Wild."
320470,1981,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","Vol.: 3 p. 143",Jacq.-Fél.
320471,1922,"Pl. Bequaert. ","Vol.: 1 p. 384","De Wild."
320472,1938,"Bull. Mus. Natl. Hist. Nat., ser. 2, ","Vol.: 10 p. 639",Jacq.-Fél.
328535,1974,"Adansonia, n.s. ","Vol.: 14 p. 96",Jacq.-Fél.
329799,1891,"Monogr. Phan. [A.DC. & C.DC.]","Vol.: 7 p. 372",Cogn.
329811,1894,"Bull. Misc. Inform. Kew ","Vol.: 1894 p. 345","Baker f."
329820,1898,"Monogr. Afrik. Pflanzen-Fam. ","Vol.: 2 p. 23","Gilg in Engler"
329824,1903,"Ann. Mus. Congo Belge, Bot., sér. 4,","Vol.: 1 p. 217","De Wild."
329835,1894,"Trans. Linn. Soc. London, Bot. ","Vol.: 4 p. 14","Baker f."
329845,1974,"Bull. Jard. Bot. Natl. Belg.","Vol.: 44 p. 164",Jacq.-Fél.
329847,1909,"Monogr. Afrik. Pflanzen.-Fam.","Vol.: 2 p. 18",Gilg
329851,1974,"Bull. Jard. Bot. Natl. Belg.","Vol.: 44 p. 162",Jacq.-Fél.
329862,1919,"Comp. Kasai ","p. 375","De Wild."
