AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1140815	1140813	divergens	Hebard, 1939	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5414	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5414
1140842	1140841	camellifolia	(Fabricius, 1775)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5342	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5342
1140847	1140841	intermedia	Caudell, 1906	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5338	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5338
1140848	1140841	dentifera	Hebard, 1941	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5335	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5335
1140850	1140849	furcata	Caudell, 1906	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5330	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5330
1140851	1140849	laletica	Hebard, 1941	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5328	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5328
1141045	1141044	atricauda	(Caudell, 1918)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5065	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5065
1141046	1141044	gracile	Beier, 1960	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5064	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5064
1141049	1141048	atrosignatum	(Brunner von Wattenwyl, 1895)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5059	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5059
1141050	1141048	brevispinum	Beier, 1960	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:5058	urn:lsid:Orthoptera.speciesfile.org:TaxonName:5058
1141130	1141129	ecuadorica	Beier, 1960	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4954	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4954
1141131	1141129	gracilis	Stål, 1873	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4952	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4952
1141488	1141487	fuliginosa	Stål, 1874	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4342	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4342
1141492	1141487	acutipennis	Beier, 1954	Subspecies		Accepted name	False	False	True	terrestrial				http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4341	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4341
1141509	1141508	immunis	(Brunner von Wattenwyl, 1893)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4295	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4295
1141510	1141508	viridinotata	(Stål, 1874)	Subspecies		Accepted name	False	False	True	terrestrial				http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4287	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4287
1141512	1141508	novaehollandiae	(Haan, 1843)	Subspecies		Accepted name	False	False	True	terrestrial		Holger Braun	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4267	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4267
1141550	1141549	maculosa	(Walker, F., 1869)	Subspecies		Accepted name	False	False	True	terrestrial		Piotr Naskrecki	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4203	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4203
1141552	1141549	wahlbergi	Stål, 1855	Subspecies		Accepted name	False	False	True	terrestrial	Woodland savanna and tall grassland.	Piotr Naskrecki	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4200	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4200
1141575	1141574	jocosa	Saussure, 1888	Subspecies		Accepted name	False	False	True	terrestrial	Grassy habitats.	Piotr Naskrecki	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Orthoptera.speciesfile.org:TaxonName:4150	urn:lsid:Orthoptera.speciesfile.org:TaxonName:4150
