AcceptedTaxonID	DistributionElement	StandardInUse
1192613	Brazil	text
1192614	Peru	text
1192615	Brazil	text
1192616	Guatemala; Mexico	text
1192617	Peru	text
1192618	Brazil; Peru	text
1192619	Mexico	text
1192630	MXS-GR	TDWG Level 4 code
1192635	Cuba	text
1192636	Dominica	text
1192637	Mexico	text
1192638	Guyana	text
1192639	Dominican Republic	text
1192640	Dominica	text
1192641	Cuba	text
1192643	Puerto Rico	text
1192644	Panama	text
1192645	Puerto Rico	text
1192650	Spain; Oman	text
1192651	Mongolia	text
1192652	Mexico; USA	text
1192653	Mexico	text
1192654	Yemen	text
1192658	Mexico	text
1192659	Venezuela	text
1192660	Brazil	text
1192661	Angola	text
1192662	Brazil	text
1192663	Jamaica	text
1192664	Brazil	text
1192665	Angola	text
1192668	Brazil	text
1192672	China	text
1192674	Hawaii	text
1192708	Indonesia	text
1192709	India	text
1192710	China	text
1192711	China	text
1192712	Taiwan; China	text
1192713	China	text
1192714	Nepal	text
1192715	China	text
1192716	Australia	text
1192717	Europe; Austria; Belgium; Czechoslovakia; Denmark; Finland; France; Germany; Great Britain; Hungary; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Spain; Switzerland; USSR; Yugoslavia; Mongolia; Vietnam; :	text
1192722	China	text
1192723	Indonesia	text
1192724	Angola; Congo; Equatorial Guinea	text
1192725	India; Nepal	text
1192726	China	text
1192727	Madagascar	text
1192728	Philippines	text
1192729	Nepal	text
1192730	China	text
1192734	Madagascar	text
1192735	Nepal	text
1192736	Singapore; Indonesia; Malaysia	text
1192738	India; China; Nepal	text
1192740	Philippines	text
1192741	China	text
1192742	China	text
1192743	Angola	text
1192744	Philippines	text
1192745	Seychelles	text
1192746	Madagascar	text
1192747	Taiwan; China; Japan	text
1192748	China	text
1192749	China	text
1192750	Madagascar	text
1192751	China	text
1192752	Madagascar	text
1192753	Madagascar	text
1192754	Congo	text
1192895	India	text
1192897	Philippines	text
1192898	Sri Lanka; India; Indonesia; Japan	text
1192899	Indonesia	text
1192900	India; Nepal	text
1192901	Taiwan; China	text
1192921	Angola; Tanzania	text
1192922	South Africa	text
1192923	China	text
1192924	Taiwan; China	text
1192925	China	text
1192927	China	text
1192928	China	text
1192929	Sri Lanka	text
1192930	China	text
1192931	China	text
1192932	China	text
1192936	China	text
1192937	India	text
1192938	Bhutan	text
1192939	Comores; Seychelles	text
1192940	Indonesia; Christmas Island	text
1192941	Indonesia	text
1192942	Singapore	text
1192944	Australia	text
1192945	Australia	text
1192947	Reunion; Tanzania	text
1192948	Fiji	text
1192949	Comores; Madagascar; Seychelles	text
1192951	India	text
1192952	Angola	text
1192953	India	text
1192954	Taiwan; China; Japan	text
1192955	China	text
1192956	Congo	text
1192959	Bangladesh	text
1192960	China	text
1192961	Thailand	text
1192962	China	text
1192963	India	text
1192965	Guinea	text
1192966	India	text
1192967	China	text
1192968	India; Bhutan	text
1192969	China	text
1192970	Japan	text
1192971	China	text
1192972	China	text
1192973	China	text
1192974	Bhutan	text
1193001	Azores; Italy; Portugal	text
1193004	Taiwan; China	text
1193006	Philippines	text
1193008	Indonesia	text
1193013	Kenya	text
1193014	South Africa; USA; Angola; Congo; Mozambique; Nigeria	text
1193018	Australia	text
1193019	Australia	text
1193020	Australia	text
1193021	New Zealand	text
1193023	Australia	text
1193024	Australia	text
1193025	Morocco	text
1193026	Australia	text
1193027	Australia	text
1193029	New Zealand; Australia; Tasmania	text
1193031	Australia	text
1193032	Australia	text
1193041	Venezuela	text
1193042	Peru; Brazil	text
1193045	Brazil	text
1193047	Indonesia	text
1193048	Sri Lanka; China; Indonesia; Japan; Taiwan	text
1193052	Indonesia	text
1193053	Australia	text
1193054	China	text
1193055	Indonesia	text
1193059	New Guinea; Australia	text
1193061	Hawaii; Hong Kong; Malaysia; Micronesia; Polynesia; Samoa	text
1193062	Angola	text
1193063	Congo; Nigeria	text
1193064	Congo	text
1193065	USA; American Virgin Islands; Cuba; Guatemala; Haiti; Jamaica; Mexico; Panama; Brazil; Suriname; Venezuela; Galapagos	text
1193066	Guam; Micronesia	text
1193067	Australia	text
1193068	Cameroon	text
1193069	Saint Helena	text
1193070	Cape Verde Islands; Cyprus; Greece; Israel; Portugal; Tunisia; Azores; Madeira	text
1193072	Mozambique; Bermuda Islands; USA; Guatemala; Mexico; Panama; Chile; Guianas; Venezuela; Indonesia; New Guinea; Easter Island; Hawaii; Melanesia; Micronesia; :	text
1193074	Congo; Angola; Madagascar; South Africa	text
1193075	Seychelles	text
1193076	Madagascar	text
1193077	Angola	text
1193078	Madagascar	text
1193079	Congo; Equatorial Guinea	text
1193080	Reunion	text
1193081	Kenya	text
1193082	Mozambique; Angola	text
1193084	Madagascar	text
1193085	Equatorial Guinea	text
1193086	Mexico; Galapagos	text
1193087	Norfolk Island	text
1193088	Congo	text
1193089	Australia	text
1193090	Cameroon	text
1193091	Kenya	text
1193092	Angola	text
1193093	Angola	text
1193095	Reunion; Mascarene Islands	text
1193096	South Africa	text
1193097	Norfolk Island; Philip Island	text
1193098	Angola	text
1193099	Angola	text
1193100	India; Nepal	text
1193102	Tasmania; Australia	text
1193103	Congo; Equatorial Guinea	text
1193104	Angola	text
1193105	Congo	text
1193107	Angola	text
1193108	Seychelles	text
1193112	Brazil	text
1193113	Uganda; Angola; Congo; Nigeria	text
1193114	Madagascar	text
1193115	Indonesia	text
1193116	Brazil	text
1193117	Brazil	text
1193118	Venezuela	text
1193119	Dominican Republic	text
1193120	Indonesia	text
1193121	Kenya	text
1193122	Madagascar	text
1193123	Colombia	text
1193124	Indonesia	text
1193125	China	text
1193126	Madagascar	text
1193127	New Guinea	text
1193128	Congo	text
1193129	Micronesia	text
1193130	Sri Lanka; China; Philippines; Taiwan	text
1193131	Astove Atoll	text
1193132	Great Britain; Austria; Belgium; Czechoslovakia; Denmark; Finland; France; Germany; Hungary; Italy; Luxembourg; Netherlands; Norway; Poland; Romania; Spain; Switzerland; USSR; Yugoslavia; USA; Mongolia	text
1193133	Japan; Indonesia; Hawaii	text
1193134	China	text
1193135	Indonesia	text
1193136	Indonesia	text
1193137	Indonesia	text
1193138	India	text
1193139	Bermuda Islands	text
1193140	China	text
1193141	Angola	text
1193142	China	text
1193143	China	text
1193144	Bahama Islands	text
1193145	Paraguay; Bolivia	text
1193146	Equatorial Guinea	text
1193148	Malaysia	text
1193149	China	text
1193150	Madagascar	text
1193151	Kenya; Angola; Benin; Congo; Equatorial Guinea; Tanzania; Togo	text
1193154	Germany; Austria; Belgium; Bulgaria; Czechoslovakia; Denmark; Finland; France; Great Britain; Greece; Hungary; Ireland; Italy; Luxembourg; Morocco; Netherlands; Norway; Poland; Portugal; Romania; Spain; Sweden; Switzerland; USSR; Yugoslavia; Canary Islands; Madeira; Canada; USA; Mongolia; :	text
1193161	Canary Islands	text
1193162	Haiti	text
1193163	Dominican Republic	text
1193164	Mexico	text
1193165	Argentina	text
1193167	Jamaica	text
1193168	China	text
1193169	Chile	text
1193171	Philippines	text
1193172	China	text
1193173	China	text
1193174	Brazil	text
1193175	Philippines	text
1193176	China	text
1193177	Brazil	text
1193178	Brazil; Venezuela	text
1193179	Indonesia	text
1193180	Brazil	text
1193181	Nepal	text
1193182	Congo	text
1193183	Colombia	text
1193184	Jamaica	text
1193185	USA	text
1193187	Philippines	text
1193188	Spain	text
1193192	USA; Guatemala; Mexico	text
1193193	China	text
1193194	China	text
1193195	China	text
1193196	China	text
1193198	Philippines	text
1193199	Ivory Coast	text
1193200	China	text
1193201	Argentina	text
1193202	France; Austria; Belgium; Bulgaria; Czechoslovakia; Finland; Germany; Hungary; Luxembourg; Norway; Poland; Spain; Switzerland; USSR; Yugoslavia; Mongolia	text
1193204	China	text
1193206	China	text
1193207	China	text
1193208	Mexico; Trinidad; Galapagos	text
1193209	Costa Rica	text
1193210	China	text
1193211	Congo	text
1193212	Uruguay	text
1193213	Haiti	text
1193214	Mexico; Panama	text
1193215	Jamaica	text
1193216	China	text
1193217	China	text
1193218	China	text
1193219	China	text
1193220	Indonesia	text
1193221	Brazil	text
1193222	Jamaica	text
1193223	Cuba; Mexico	text
1193224	Japan; China; Taiwan	text
1193225	Europe; Austria; Belgium; Bulgaria; Czechoslovakia; Denmark; Finland; France; Germany; Great Britain; Greece; Hungary; Ireland; Italy; Luxembourg; Netherlands; Norway; Poland; Portugal; Romania; Spain; Switzerland; Turkey; USSR; Yugoslavia; Azores; Bermuda Islands; Canary Islands; Madeira; Canada; USA; Mexico; Nicaragua; Japan; Mongolia; :	text
1193234	New Zealand	text
1193235	New Zealand	text
1193236	China	text
1193237	China	text
1193238	China	text
1193239	Canary Islands	text
1193240	Taiwan; China	text
1193241	China	text
1193242	India	text
1193244	Benin	text
1193245	China	text
1193248	Brazil	text
1193249	Congo	text
1193250	Japan; USA; China; Taiwan	text
1193251	China	text
1193252	Japan	text
1193253	USA	text
1193254	China	text
1193255	Madagascar	text
1193256	China	text
