ReferenceID	Authors	Year	Title	Source
32099	Navas	1930	Insectos neotropicos (Sexta serie).	Revista Chilena de Historia Natural 34
32101	Navas	1931	Névroptères et insectes voisins - Chine et pays environnants. 2e serie.	Notes d'Entomologie chinoise 1(7)
32102	Navas	1931	Insectos de la Argentina. Septima serie.	Revista de la Sociedad Entomologica Argentina 3
32105	Navas	1931	Insectes du Congo Belge. Série VI. Névroptères.	Revue de Zoologie et de Botanique africaines 21
32106	Navas	1932	Insectes du Congo Belge. Série VII. Névroptères.	Revue de Zoologie et de Botanique africaines 22
32107	Navas	1932	Insectos de la Argentina.	Revista de la Academia de Ciencias exactas, fisico-quimicas y naturales de Zaragoza 16
32110	Navas	1932	Insectos de la Argentina y Chile.	Revista de la Sociedad Entomologica Argentina 5(22)
32111	Navas	1933	Névroptères et insectes voisins. Chine et pays environnants. 4e série.	Notes d'Entomologie chinoise 1(9)
32112	Navas	1933	Névroptères et insectes voisins. Chine et pays environnants. 5e série.	Notes d'Entomologie chinoise 1(13)
32113	Navas	1933	Decadas de insectos nuevos. Decada 24.	Broteria, Ciencias naturais 2(3)
32116	Navas	1934	Insectos de la India. Quinta serie.	Revista de la Academia de Ciencias exactas, fisico-quimicas y naturales de Zaragoza 17
32117	Navas	1934	Insectos suramericanos. Octava serie.	Revista de la Academia de Ciencias exactas, fisico-quimicas y naturales de Madrid 31
32118	Navas	1934	Névroptères et insectes voisins. Chine et pays environnants. Septième série.	Notes d'Entomologie chinoise 2
32119	Navas	1934	Insectos suramericanos. Novena serie.	Revista de la Academia de Ciencias exactas, fisico-quimicas y naturales de Madrid 31
32121	Navas	1936	Insectes du Congo Belge. Série IX.	Revue de Zoologie et de Botanique africaines 28
32141	New	1971	Two dimorphic Philotarsidae (Psocoptera) from Australia.	Journal of the Australian Entomological Society 10(1)
32142	New	1971	An introduction to the natural history of the British Psocoptera.	The Entomologist 104
32143	New	1971	The Psocoptera of the Canadian Nepal Expedition.	Canadian Entomologist 103(2)
32144	New	1971	"The Psocoptera of Curtis Island, Tasmania."	Journal of the Australian Entomological Society 10(3)
32145	New	1971	"A new species of Belaphapsocus [sic!] Badonnel from Brazil, with notes on its early stages and bionomics (Psocoptera)."	The Entomologist 104
32146	New	1971	Species of Lachesilla (Psocoptera) associated with palm trees in central Brazil.	Zoological Journal of the Linnean Society of London 50(4)
32148	New	1972	Some Epipsocetae (Psocoptera) from central Brazil.	Transactions of the Royal Entomological Society of London 123(4)
32149	New	1972	A new genus and species of Elipsocidae (Psocoptera) from Australia.	Journal of Entomology (B) 41(1)
32150	New	1972	Some Brazilian Psocoptera from bird nests.	The Entomologist 105
32151	New	1972	A collection of Psocidae (Psocoptera) from Central Brazil.	Arquivos de Zoologia, S. Paulo 22(4)
