ID	ReferenceType	ReferenceID
181974		25270
181976		26388
181977		24342
181978		25423
181979		25529
181980		25529
181982		26388
181985		26239
181991		25461
181995		25234
181997		25762
182000		24237
182002		25471
182004		25087
182008		25924
182010		25834
182011		25369
182014		23986
182016		26326
182017		25094
182018		25751
182020		24169
182032		25615
182035		25270
182044		25087
182045		25754
182051		24239
182054		24265
182059		25601
182060		25423
182068		25602
182070		25430
182073		25449
182076		26402
182079		24308
182081		25131
182082		24073
182083		25097
182085		23986
182088		25406
182091		25694
182093		25088
182099		25515
182102		26012
182107		24237
182111		25837
182113		25837
182121		25471
182125		25698
182126		24997
182130		26344
182132		25837
182134		24255
182141		26354
182143		25088
182145		24265
182149		26172
182150		23974
182152		25840
182153		25163
182157		26304
182159		23681
182164		25213
182165		26327
182166		25471
182167		25455
182169		25800
182174		26289
182176		26395
182178		24265
182180		24269
182182		24389
182188		25751
182194		25800
182195		26269
182197		25626
182199		25131
182201		24723
182204		24152
182206		25926
182212		25754
182216		25762
182218		24309
182219		26242
182221		25762
182223		24275
182224		25163
182226		26272
182231		23776
182238		25470
182243		25102
182247		25212
182249		24309
182253		25430
182255		25800
182257		25623
182261		25534
182263		25754
182265		25751
182268		25761
182270		25837
182278		25085
182281		25751
182282		26070
182284		24071
182285		25602
182291		25181
182295		24249
182302		25424
182305		25216
182307		25471
182310		25624
182311		25664
182313		25944
182315		24265
182319		25102
182321		25694
182324		24257
182330		24063
182334		24391
182337		25926
182339		25102
182340		24179
182345		25800
182348		25624
182350		26347
182355		24042
182356		24278
182359		25751
182363		24071
182365		25130
182368		25800
182376		26388
182382		26333
182393		24036
182397		26305
182399		25751
182401		25751
182403		23787
182406		23981
182408		24277
182410		25731
182412		23986
182414		25515
182416		25180
182417		24338
182419		25926
182422		24256
182424		25407
182429		25758
182431		25839
182432		23986
182436		25751
182442		25800
182447		25516
182455		25481
182460		25839
182463		26309
182465		26280
182469		25751
182471		26294
182475		25835
182477		25943
182479		25800
182483		24277
182485		25085
182487		25455
182491		26411
182494		25800
182497		25800
182500		25602
182502		25183
182504		25751
182506		25119
182508		25751
182510		25119
182512		25113
182517		22629
182521		25515
182525		22664
182526		25260
182535		25754
182537		24342
182543		26403
182545		25369
182547		25664
182552		25172
182554		25751
182556		25131
182558		25758
182564		26304
182565		25602
182569		25427
182570		25677
182572		25370
182575		25735
182577		25754
182579		25893
182582		25836
182584		25892
182586		25515
182589		24161
182591		24237
182593		25180
182595		25369
182597		25515
182599		25628
182601		26295
182606		23684
182610		25943
182616		25839
182617		25758
182619		24164
182620		23986
182624		24094
182627		25080
182632		25087
182634		23979
182636		25751
182638		24277
182639		25927
182640		23936
182643		24241
182649		24174
182652		25664
182655		25453
182658		25924
182660		25707
182662		25455
182665		25471
182669		25927
182671		26388
182673		25274
182677		25839
182679		25754
182687		25751
182691		24351
182695		26094
182696		26282
182697		25471
182699		24351
182704		25601
