record_id	hierarchy_code	kingdom	phylum	class	order	family	superfamily	database_id	family_code
78744	Plantae-Tracheophyta--Sapindales-Meliaceae	Plantae	Tracheophyta		Sapindales	Meliaceae		141	wp-325.0000
79629	Plantae-Tracheophyta--Sapindales-Simaroubaceae	Plantae	Tracheophyta		Sapindales	Simaroubaceae		141	wp-326.0000
79779	Plantae-Tracheophyta--Huerteales-Tapisciaceae	Plantae	Tracheophyta		Huerteales	Tapisciaceae		141	wp-329.0000
79788	Plantae-Tracheophyta--Huerteales-Dipentodontaceae	Plantae	Tracheophyta		Huerteales	Dipentodontaceae		141	wp-330.0000
79814	Plantae-Tracheophyta--Malvales-Neuradaceae	Plantae	Tracheophyta		Malvales	Neuradaceae		141	wp-331.0000
79827	Plantae-Tracheophyta--Malvales-Thymelaeaceae	Plantae	Tracheophyta		Malvales	Thymelaeaceae		141	wp-332.0000
80982	Plantae-Tracheophyta--Malvales-Cochlospermaceae	Plantae	Tracheophyta		Malvales	Cochlospermaceae		141	wp-334.0000
81010	Plantae-Tracheophyta--Malvales-Bixaceae	Plantae	Tracheophyta		Malvales	Bixaceae		141	wp-335.0000
81017	Plantae-Tracheophyta--Malvales-Diegodendraceae	Plantae	Tracheophyta		Malvales	Diegodendraceae		141	wp-336.0000
81020	Plantae-Tracheophyta--Malvales-Cistaceae	Plantae	Tracheophyta		Malvales	Cistaceae		141	wp-337.0000
81477	Plantae-Tracheophyta--Malvales-Dipterocarpaceae	Plantae	Tracheophyta		Malvales	Dipterocarpaceae		141	wp-339.0000
82115	Plantae-Tracheophyta--Malvales-Cytinaceae	Plantae	Tracheophyta		Malvales	Cytinaceae		141	wp-340.0000
82135	Plantae-Tracheophyta--Malvales-Malvaceae	Plantae	Tracheophyta		Malvales	Malvaceae		141	wp-342.0000
88394	Plantae-Tracheophyta--Capparales-Akaniaceae	Plantae	Tracheophyta		Capparales	Akaniaceae		141	wp-343.0000
88397	Plantae-Tracheophyta--Capparales-Bretschneideraceae	Plantae	Tracheophyta		Capparales	Bretschneideraceae		141	wp-344.0000
88400	Plantae-Tracheophyta--Capparales-Tropaeolaceae	Plantae	Tracheophyta		Capparales	Tropaeolaceae		141	wp-345.0000
88516	Plantae-Tracheophyta--Capparales-Moringaceae	Plantae	Tracheophyta		Capparales	Moringaceae		141	wp-346.0000
88533	Plantae-Tracheophyta--Capparales-Caricaceae	Plantae	Tracheophyta		Capparales	Caricaceae		141	wp-347.0000
88580	Plantae-Tracheophyta--Capparales-Bataceae	Plantae	Tracheophyta		Capparales	Bataceae		141	wp-351.0000
88584	Plantae-Tracheophyta--Capparales-Salvadoraceae	Plantae	Tracheophyta		Capparales	Salvadoraceae		141	wp-352.0000
88605	Plantae-Tracheophyta--Capparales-Emblingiaceae	Plantae	Tracheophyta		Capparales	Emblingiaceae		141	wp-353.0000
88608	Plantae-Tracheophyta--Capparales-Cleomaceae	Plantae	Tracheophyta		Capparales	Cleomaceae		141	wp-355.0000
88916	Plantae-Tracheophyta--Capparales-Capparaceae	Plantae	Tracheophyta		Capparales	Capparaceae		141	wp-356.0000
89435	Plantae-Tracheophyta--Capparales-Pentadiplandraceae	Plantae	Tracheophyta		Capparales	Pentadiplandraceae		141	wp-358.0000
89439	Plantae-Tracheophyta--Capparales-Gyrostemonaceae	Plantae	Tracheophyta		Capparales	Gyrostemonaceae		141	wp-359.0000
89468	Plantae-Tracheophyta--Capparales-Resedaceae	Plantae	Tracheophyta		Capparales	Resedaceae		141	wp-361.0000
89630	Plantae-Tracheophyta--Capparales-Stixaceae	Plantae	Tracheophyta		Capparales	Stixaceae		141	wp-362.0000
89663	Plantae-Tracheophyta--Santalales-Erythropalaceae	Plantae	Tracheophyta		Santalales	Erythropalaceae		141	wp-363.0000
89708	Plantae-Tracheophyta--Santalales-Strombosiaceae	Plantae	Tracheophyta		Santalales	Strombosiaceae		141	wp-364.0000
89737	Plantae-Tracheophyta--Santalales-Coulaceae	Plantae	Tracheophyta		Santalales	Coulaceae		141	wp-365.0000
89744	Plantae-Tracheophyta--Santalales-Ximeniaceae	Plantae	Tracheophyta		Santalales	Ximeniaceae		141	wp-366.0000
89766	Plantae-Tracheophyta--Santalales-Aptandraceae	Plantae	Tracheophyta		Santalales	Aptandraceae		141	wp-367.0000
89808	Plantae-Tracheophyta--Santalales-Olacaceae	Plantae	Tracheophyta		Santalales	Olacaceae		141	wp-368.0000
89876	Plantae-Tracheophyta--Santalales-Octoknemaceae	Plantae	Tracheophyta		Santalales	Octoknemaceae		141	wp-369.0000
89892	Plantae-Tracheophyta--Santalales-Schoepfiaceae	Plantae	Tracheophyta		Santalales	Schoepfiaceae		141	wp-370.0000
89951	Plantae-Tracheophyta--Santalales-Misodendraceae	Plantae	Tracheophyta		Santalales	Misodendraceae		141	wp-371.0000
89961	Plantae-Tracheophyta--Santalales-Loranthaceae	Plantae	Tracheophyta		Santalales	Loranthaceae		141	wp-372.0000
91222	Plantae-Tracheophyta--Santalales-Comandraceae	Plantae	Tracheophyta		Santalales	Comandraceae		141	wp-374.0000
91231	Plantae-Tracheophyta--Santalales-Thesiaceae	Plantae	Tracheophyta		Santalales	Thesiaceae		141	wp-375.0000
91589	Plantae-Tracheophyta--Santalales-Cervantesiaceae	Plantae	Tracheophyta		Santalales	Cervantesiaceae		141	wp-376.0000
91618	Plantae-Tracheophyta--Santalales-Nanodeaceae	Plantae	Tracheophyta		Santalales	Nanodeaceae		141	wp-377.0000
91624	Plantae-Tracheophyta--Santalales-Santalaceae	Plantae	Tracheophyta		Santalales	Santalaceae		141	wp-378.0000
91721	Plantae-Tracheophyta--Santalales-Amphorogynaceae	Plantae	Tracheophyta		Santalales	Amphorogynaceae		141	wp-379.0000
91825	Plantae-Tracheophyta--Santalales-Viscaceae	Plantae	Tracheophyta		Santalales	Viscaceae		141	wp-380.0000
92463	Plantae-Tracheophyta--Santalales-Balanophoraceae	Plantae	Tracheophyta		Santalales	Balanophoraceae		141	wp-381.0000
92544	Plantae-Tracheophyta--Berberidopsidales-Aextoxicaceae	Plantae	Tracheophyta		Berberidopsidales	Aextoxicaceae		141	wp-382.0000
92547	Plantae-Tracheophyta--Berberidopsidales-Berberidopsidaceae	Plantae	Tracheophyta		Berberidopsidales	Berberidopsidaceae		141	wp-383.0000
92554	Plantae-Tracheophyta--Tamaricales-Frankeniaceae	Plantae	Tracheophyta		Tamaricales	Frankeniaceae		141	wp-384.0000
92654	Plantae-Tracheophyta--Tamaricales-Tamaricaceae	Plantae	Tracheophyta		Tamaricales	Tamaricaceae		141	wp-385.0000
92790	Plantae-Tracheophyta--Polygonales-Plumbaginaceae	Plantae	Tracheophyta		Polygonales	Plumbaginaceae		141	wp-386.0000
94106	Plantae-Tracheophyta--Polygonales-Polygonaceae	Plantae	Tracheophyta		Polygonales	Polygonaceae		141	wp-387.0000
96162	Plantae-Tracheophyta--Nepenthales-Drosophyllaceae	Plantae	Tracheophyta		Nepenthales	Drosophyllaceae		141	wp-390.0000
