name_code	common_name	database_id
wp-387	Quatre negres (Haiti)	140
wp-389	Red canella (Jamaica)	140
wp-389	Mountain cinnamon (Jamaica)	140
wp-390	Canela	140
wp-390	Curbana (Cuba)	140
wp-392	Canelilla	140
wp-392	Canelillo (Dominican Republic)	140
wp-398	Cinnamon bark	140
wp-398	Canelero de Cuba	140
wp-398	Pepper cinnamon	140
wp-401	Pepper-bark Tree	140
wp-413	Lizard's tail	140
wp-416	Chameleon-flower	140
wp-418	Yerba mansa	140
wp-455	Higuillo de hoja menuda	140
wp-455	Matico Pepper	140
wp-486	Rarama	140
wp-492	Amalago Pepper	140
wp-492	Higuillo de limon	140
wp-s.493	Black jointer (Jamaica)	140
wp-528	Ambaibillo	140
wp-s.528	Ambaibillo	140
wp-557	Pimiento de sabana (Cuba)	140
wp-586	Goldpfeffer	140
wp-586	Veracruz pepper	140
wp-641	Betelpfeffer	140
wp-656	Higuillo	140
wp-656	Moth pepper	140
wp-737	Ambaivilla semirastrera	140
wp-887	Rarammishni	140
wp-887	rurasa	140
wp-939	Kubebe	140
wp-939	Kubebenpfeffer	140
wp-1013	Bwa mal lesto	140
wp-1013	Candle bush	140
wp-1013	Grande malimbe	140
wp-1013	Malanbe	140
wp-1013	Higuillo	140
wp-1186	Pariparoba	140
wp-1202	Aniseto (Dominican Republic)	140
wp-1298	Bayuyo	140
wp-1298	Platanillo de Cuba (Cuba)	140
wp-1298	Guayuyo (Dominican Republic)	140
wp-1298	Anisette	140
wp-1298	Queue de rat (Haiti)	140
wp-1365	Tetsi Pepper	140
wp-1382	Guayuyo	140
wp-1382	Guayuyo macho (Dominican Republic)	140
wp-1382	Queue de rat (Haiti)	140
wp-1526	Long Pepper	140
wp-1526	Pippali	140
wp-1578	Aniseto	140
wp-1578	Anisillo	140
wp-1578	Cirio	140
wp-1578	Guayuyo anisillo (Dominican Republic)	140
wp-1578	Bois sirop	140
wp-1578	Feuilles sirop	140
wp-1578	Gomme baume (Haiti)	140
wp-1578	Higuillo oloroso	140
wp-1578	Oloroso (Puerto Rico)	140
wp-1717	Schwarzer Pfeffer	140
wp-1717	Black Pepper	140
wp-1717	Pimienta negra	140
wp-1744	Matico	140
wp-1792	Anisetillo (Dominican Republic)	140
wp-1860	Monkey's hand	140
wp-1860	Santa Maria	140
wp-2127	Pepper-elder (Lesser Antilles)	140
wp-2327	Guayuyo de olor	140
wp-2327	Pimienta de costa (Cuba)	140
wp-2545	Ambayvillo	140
wp-2566	Caisimon	140
wp-2566	Plato (Cuba)	140
wp-2566	Cow foot (Jamaica)	140
wp-2566	Bois-anisette	140
wp-2566	Chapeau gleau	140
wp-2566	Cowheel bush (Lesser Antilles)	140
wp-2661	Guayuyo (Cuba)	140
wp-2705	Kava-kava	140
wp-2705	Kawa	140
wp-2732	Winged peperomia	140
wp-2753	Jackie's saddle	140
wp-2893	Orgo cuncunita	140
wp-2950	Guanganeques (Dominican Republic)	140
wp-2950	Yerba de guaba (Puerto Rico)	140
wp-3064	Verdolaga de piedra (Dominican Republic)	140
wp-3113	Gironflee	140
wp-3113	Malimbe	140
wp-3113	Mourron	140
wp-3113	Queue de rat	140
wp-3113	Queue de souris	140
wp-3113	Ti-mourron (Lesser Antilles)	140
wp-3203	Cypress peperomia	140
wp-3264	Hoja de lata cimarrona (Dominican Republic)	140
wp-3264	Gironflee	140
wp-3264	Malimbe	140
wp-3264	Mourron	140
wp-3264	Queue de rat	140
wp-3264	Queue de souris	140
wp-3264	Ti-mourron (Lesser Antilles)	140
wp-3277	Gironflee	140
wp-3277	Mourron	140
wp-3277	Malimbe	140
wp-3277	Queue de rat	140
wp-3277	Queue de souris	140
wp-3277	Ti-mourron (Lesser Antilles)	140
wp-3305	Gironflee	140
wp-3305	Malimbe	140
wp-3305	Mourron	140
wp-3305	Queue de rat	140
wp-3305	Queue de souris	140
wp-3305	Ti-mourron (Lesser Antilles)	140
wp-3422	Hoja de lata	140
wp-3425	Spoonleaf peperomia	140
wp-3425	Verdolaga de piedra	140
wp-3513	Myrtleleaf peperomia	140
wp-3557	Baby rubberplant	140
wp-3557	Cupeycito (Dominican Republic)	140
wp-3632	Tabardillo	140
wp-3632	Buche de paloma	140
wp-3632	Corazon de hombre	140
wp-3632	Yerba de la plata	140
wp-3843	Yerba linda	140
wp-3925	Vinagre	140
wp-3979	Bejuco alcanfor (Cuba)	140
wp-4135	Oreja de gato (Cuba)	140
wp-4199	Canadian wildginger	140
wp-4200	British Columbia wildginger	140
wp-4223	Haselwurz	140
wp-s.4223	Haselwurz	140
wp-4235	Hartweg's wildginger	140
wp-4255	Lemmon's wildginger	140
wp-4262	Marbled wildginger	140
wp-4319	Longtail wildginger	140
wp-4327	Littlebrownjug	140
wp-s.4329	Ruth's littlebrownjug	140
wp-4330	Mountain heartleaf	140
wp-4332	Variable heartleaf	140
wp-4333	Lewis' heartleaf	140
wp-4334	Little heartleaf	140
wp-4335	Dwarfflower heartleaf	140
wp-4336	North Fork heartleaf	140
wp-4337	Largeflower heartleaf	140
wp-4338	Sorrie's heartleaf	140
