AcceptedTaxonID	ParentSpeciesID	InfraSpeciesEpithet	InfraSpeciesAuthorString	InfraSpeciesMarker	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	InfraSpeciesURL	GSDNameGUID
1154951	1154950	lamellosa	Despax, 1929	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4468	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4468
1154952	1154950	lusitanica	Aubert, 1962	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4466	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4466
1154957	1154956	microstyla	Vinçon & Ravizza, 2000	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4461	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4461
1154958	1154956	nalon	Vinçon & Ravizza, 2000	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4460	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4460
1154959	1154956	saja	Vinçon & Ravizza, 2000	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:4459	urn:lsid:Plecoptera.speciesfile.org:TaxonName:4459
1155037	1155036	minuta	Zhiltzova, 1960	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462424	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462424
1155038	1155036	bursaensis	Vinçon & Sivec, 2001	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462423	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462423
1155039	1155036	kastamonui	Vinçon & Sivec, 2001	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462422	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462422
1155041	1155040	vinconi	Ravizza, C. & Ravizza Dematteis, 1993	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462420	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462420
1155042	1155040	aubertorum	Ravizza, C. & Ravizza Dematteis, 1994	Subspecies		Accepted name	False	False	True	freshwater, terrestrial	Shredders of decayed tree leaves	R. Edward DeWalt	05/31/2016 00:00:00	http://lsid.speciesfile.org/urn:lsid:Plecoptera.speciesfile.org:TaxonName:462419	urn:lsid:Plecoptera.speciesfile.org:TaxonName:462419
