ReferenceID	Authors	Year	Title	Source
15719	Yang, D. & C. Yang	1995	Three new species of Plecoptera from Hainan Province	Acta Agriculturae Universitatis Pekinensis (Acta Agric. Univ. Pekinensis) 21(2):223-225
15720	Kondratieff & C.H. Nelson	1995	A review of the genus Remenus Ricker (Plecoptera: Perlodidae), with the description of two new species	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 97(3):596-602
15722	Ansorge	1996	Insekten aus dem oberen Lias von Grimmen (Vorpommern, Norddeutschland). The Upper Liassic insects of Grimmen (Pomerania, north Germany)	Neue Palaeontologische Abhandlungen (Neue Palaeontol. Abhandl.) 2:1-132
15724	Baumann	1996	Three new species of Amphinemura (Plecoptera: Nemouridae) from eastern North America	Entomological News (Ent. News) 107(5):249-254
15725	Baumann & Grubbs	1996	Two new species of Soyedina (Plecoptera: Nemouridae) from the Appalachian Mountains	Entomological News (Ent. News) 107(4):220-224
15726	Sivec & Zhiltzova	1996	Description of Neoperla ussurica sp.n. from the Russian Far East (Plecoptera: Perlidae)	Acta Entomologica Slovenica (Acta Entomol. Sloven.) 4(1):13-18
15727	Stark	1996	New species of Macrogynoplax (Insecta: Plecoptera: Perlidae) from Peru and Guyana	Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 109(2):318-325
15728	Zhiltzova	1996	On the fauna and ecology of stoneflies (Plecoptera) of the Sikhote-Alinski Biosphere Nature Reserve	Entomologicheskoe Obozrenie (Entomol. Obozr.) 75(3):567-573
15729	Vinçon & Ravizza	1996	Two new Leuctra species in the inermis group: L. garumna from the Pyrenees and L. ameliae from the western Alps (Plecoptera, Leuctridae)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 18(3):149-156
15730	Kondratieff & Kirchner	1996	Two new species of Hansonoperla (Plecoptera: Perlidae) from eastern North America	Annals of the Entomological Society of America (Ann. ent. Soc. Amer.) 89(4):501-509
15732	Kirchner & Kondratieff	1997	A new species of Nearctic Perlesta (Plecoptera: Perlidae) from Virginia	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 99(2):290-293
15733	Baumann & R.L. Bottorff	1997	Two new species of Chloroperlidae (Plecoptera) from California	Great Basin Naturalist (Gr. Bas. Nat.) 57(4):343-347
15734	Sivec & Zhiltzova	1997	Agnetina kryzhanovskii, a new stonefly from Yunnan, China (Plecoptera: Perlidae)	Acta Entomologica Slovenica (Acta Entomol. Sloven.) 5(2):109-112
15735	Stark & Rhodes	1997	Perlesta xube, a new stonefly species from Nebraska (Plecoptera: Perlidae)	Entomological News (Ent. News) 108(2):92-96
15738	Shimizu	1998	The genus Protonemura in Japan (Insecta: Plecoptera: Nemouridae).	Species Diversity 3(1):133-154
15739	Stark	1998	The Anacroneuria of Costa Rica and Panama (Insecta: Plecoptera: Perlidae)	Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 111(3):551-603
15740	Stark & Sivec	1998	Anacroneuria of Peru and Bolivia (Plecoptera: Perlidae)	Scopolia 40:1-64
15741	Smith, A.D. & Stark	1998	Neoperla coosa (Plecoptera: Perlidae), a new stonefly species from Alabama	Entomological News (Ent. News) 109(3):153-158
15742	Yang, D. & C. Yang	1998	[Plecoptera: Styloperlidae, Perlidae and Leuctridae]   	Insects of Longwangshan 1998(8):40-46
15743	Vinçon & Pardo	1998	Three new Leuctra species from Tunisia (Plecoptera: Leuctridae)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 20(2):109-123
15744	Ham & Lee	1998	Nemoura gemma, a new species of the Nemouridae (Insecta: Plecoptera) from Korea	Korean Journal of Systematic Zoology (Korean J. Syst. Zool.) 14(4):357-360
15745	Kondratieff & Kirchner	1998	A new species of Sweltsa (Plecoptera: Chloroperlidae) from eastern North America	Entomological News (Ent. News) 109(4):293-295
15746	Du & Chou	1998	Taxonomic study of the genus Agnetina Klapalek (Plecoptera: Perlidae: Perlinae) from China	Entomotaxonomia 20(2):100-110
15747	Froehlich	1998	Seven new species of Tupiperla (Plecoptera: Gripopterygidae) from Brazil, with a revision of the  genus	Studies on Neotropical Fauna and Environment (Stud. Neotrop. Fauna) 33:19-36
15748	McLellan	1999	A revision of Zelandoperla Tillyard (Plecoptera: Gripopterygidae: Zelandoperlinae)	New Zealand Journal of Zoology (N. Z. J. Zool.) 26(3):199-219
15749	Stark	1999	Anacroneuria from northeastern South America (Insecta: Plecoptera: Perlidae)	Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 112(1):70-93
15750	Vinçon & Ravizza	1999	The genus Rhabdiopteryx in the Iberian Peninsula, with the description of R. antoninoi sp. n. (Plecoptera, Taeniopterygidae)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 18(3):149-156
15751	Vinçon & Sánchez-Ortega	1999	Protonemura berberica, a new species of Nemouridae from North Africa (Plecoptera)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 21(3):231-234
15752	Ham & Lee	1999	Four new species of Nemouridae (Plecoptera: Insecta) from Korea	Korean Journal of Biological Sciences (Korean J. Biol. Sci.) 3(2):119-125
15753	Kondratieff & Baumann	1999	Studies on stoneflies of North Dakota with the description of a new Perlesta species (Plecoptera: Perlidae)	Proceedings of the Entomological Society of Washington (Proc. Entomol. Soc. Wash.) 101(2):325-331
15754	Picker & Stevens	1999	Revision of Desmonemoura Tillyard, Aphanicerca Tillyard, Afronemoura Illies and Aphanicercopsis Barnard (Plecoptera: Notonemouridae), with a key to males	African Entomology (Afr. Entomol.) 7(2):211-223
15755	Stevens & Picker	1999	A revision of Aphanicercella Tillyard (Plecoptera: Notonemouridae) including the A. barnardi (Tillyard) species-complex	African Entomology (Afr. Entomol.) 7(2):197-209
15756	Ribeiro & Froehlich	1999	New species of Macrogynoplax 1909 from North Brazil (Plecoptera, Perlidae, Anacroneuriinae)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 21:133-140
15757	Chino	1999	A new species of the genus Skwala Ricker from central Japan (Nagano Pref.) (Plecoptera: Perlodidae)	Aquatic Insects: International Journal of Freshwater Entomology (Aquatic Insects) 21(3):161-167
15758	Du & Chou	1999	Notes on Chinese species of the genus Togoperla Klapalek (Plecoptera: Perlidae: Perlinae)	Entomotaxonomia 21(1):1-8
15760	Alexander, K.D. & Stewart	1999	Revision of the genus Suwallia Ricker (Plecoptera: Chloroperlidae)	Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 125(3):185-250
15761	McLellan	2000	Additions to New Zealand notonemourid stoneflies (Insecta: Plecoptera)	New Zealand Journal of Zoology (N. Z. J. Zool.) 27(1):21-27
15762	Shimizu	2000	Paraleuctra (Insecta: Plecoptera: Leuctridae) from Japan, with taxonomic notes on the Japanese Leuctridae	Species Diversity 5(3):285-303
