ID	AcceptedTaxonID	Genus	SubgenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraSpeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
151132	1176838	Carriblattoides		suave	(Rehn, J. A. G. & Hebard, 1927)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3020
151134	1176839	Carriblattoides		unicolor	(Rocha e Silva, 1964)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3018
151140	1176844	Blatta		aequalis	Walker, F., 1871				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3012
151142	1176847	Paraceratinoptera		funebris	Shelford, 1913				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3008
151145	1176849	Temnopteryx		limbata	Saussure, 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3005
151147	1176850	Temnopteryx		lobipennis	Saussure, 1869				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3003
151149	1176851	Paraceratinoptera		nahua	Saussure, 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3000
151151	1176851	Paraceratinoptera		dohrniana	Saussure & Zehntner, 1893				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:3002
151153	1176854	Temnopteryx		otomia	Saussure, 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2997
151157	1176856	Phyllodromia		binotata	Bruner, 1906				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2995
151159	1176859	Temnopteryx		sumichrasti	Saussure, 1868				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2991
151164	1176863	Theganopteryx		atra	Hanitsch, 1950				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2986
151167	1176865	Phyllodromia		bolivari	Shelford, 1909				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2983
151170	1176866	Chrastoblatta		punctulata	Chopard, 1957				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2982
151173	1176870	Blatta		fissa	Saussure & Zehntner, 1895				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2977
151175	1176871	Theganopteryx		gerardi	Hanitsch, 1950				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2975
151177	1176872	Blatta		liturifera	Stål, 1860				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2973
151179	1176873	Theganopteryx		pallida	Hanitsch, 1938				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2971
151182	1176874	Chorisoblatta		punctulata	Princis, 1963				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2970
151184	1176876	Theganopteryx	Pseudectobia	punctulata	Saussure & Zehntner, 1895				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2967
151185	1176876	Eutheganopteryx		punctulata	(Saussure & Zehntner, 1895)				Subsequent combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2967
151186	1176876	Phyllodromia		zehntneri	Shelford, 1908				Junior synonym	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2968
151187	1176878	Phyllodromia		pustulosa	Gerstaecker, 1883				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2963
151191	1176881	Ectobia		insularis	Saussure, 1869				Original combination	Unambiguous synonym	urn:lsid:Blattodea.speciesfile.org:TaxonName:2958
