ID	ReferenceType	ReferenceID
1172048		20815
1172048		20902
1172049		20815
1172049		20852
1172049		20863
1172050		20852
1172051		20852
1172052		20852
1172053		20852
1172054		20852
1172055		20852
1172056		20852
1172057		20863
1172060		20852
1172061		20852
1172063		20799
1172064		20852
1172066		20824
1172066		20883
1172067		20824
1172067		20841
1172067		20874
1172069		20813
1172069		20837
1172070		20837
1172071		20837
1172072		20937
1172073		20957
1172075		20853
1172076		20852
1172077		20852
1172079		20785
1172080		20785
1172082		20795
1172084		20795
1172087		20842
1172088		20842
1172088		20847
1172089		20815
1172089		20842
1172090		20842
1172090		20847
1172091		20795
1172094		20803
1172094		20807
1172096		20803
1172096		20807
1172098		20812
1172098		20855
1172098		20956
1172102		20812
1172104		20811
1172106		20799
1172106		20812
1172106		20827
1172106		20883
1172108		20811
1172110		20811
1172111		20811
1172112		20811
1172115		20807
1172117		20859
1172117		20881
1172118		20878
1172119		20878
1172120		20795
1172120		20878
1172122		20795
1172122		20812
1172123		20795
1172123		20812
1172124		20783
1172124		20812
1172125		20812
1172126		20812
1172127		20812
1172127		20898
1172130		20807
1172131		20807
1172131		20812
1172132		20807
1172133		20795
1172133		20807
1172133		20812
1172136		20807
1172138		20807
1172140		20807
1172141		20807
1172143		20807
1172143		20827
1172143		20863
1172145		20807
1172147		20870
1172148		20870
1172151		20870
1172152		20870
1172153		20870
1172154		20807
1172155		20807
1172157		20870
1172158		20807
1172159		20807
1172160		20807
1172163		20848
1172168		20871
1172169		20873
1172170		20873
1172171		20873
1172172		20872
1172173		20811
1172174		20792
1172174		20874
1172175		20820
1172176		20792
1172176		20813
1172177		20792
1172179		20878
1172180		20879
1172181		20881
1172182		20812
1172183		20812
1172184		20812
1172185		20812
1172186		20812
1172187		20812
1172188		20812
1172189		20812
1172190		20812
1172191		20812
1172192		20953
1172193		20953
1172194		20953
1172195		20953
1172198		20873
1172199		20872
1172200		20854
1172201		20811
1172201		20812
1172202		20811
1172202		20812
1172203		20811
1172203		20812
1172204		20811
1172204		20812
1172205		20792
1172205		20811
1172206		20811
1172206		20879
1172207		20811
1172208		20811
1172209		20812
1172210		20812
1172210		20851
1172211		20812
1172211		20851
1172212		20953
1172216		20812
1172216		20820
1172216		20845
1172217		20812
1172217		20845
1172218		20812
1172218		20845
1172218		20898
1172219		20799
1172221		20847
1172222		20852
1172225		20792
1172225		20882
1172226		20875
1172229		20883
1172230		20883
1172231		20861
1172232		20818
1172233		20834
1172235		20816
1172235		20834
1172236		20816
1172237		20816
1172238		20816
1172239		20816
1172240		20833
1172241		20816
1172242		20884
1172243		20885
1172244		20813
1172246		20858
1172247		20858
1172248		20897
1172249		20858
1172250		20858
1172251		20858
1172252		20858
1172253		20858
1172254		20941
1172255		20941
1172256		20855
1172256		20881
1172259		20785
1172260		20785
1172262		20938
1172263		20922
1172264		20922
1172265		20785
1172266		20785
1172267		20785
1172268		20785
1172269		20785
1172270		20785
1172271		20785
1172272		20785
1172272		20828
1172273		20785
1172273		20862
1172273		20927
1172275		20785
1172277		20785
1172279		20813
1172279		20928
1172280		20813
1172280		20928
1172281		20874
1172281		20927
1172283		20934
1172284		20936
1172288		20792
1172288		20812
1172289		20790
1172289		20895
1172293		20816
1172293		20905
1172294		20816
1172297		20888
1172300		20800
1172304		20801
1172307		20795
1172308		20807
1172309		20807
1172310		20807
1172311		20812
1172312		20807
1172314		20844
1172314		20891
1172316		20799
1172316		20827
1172316		20844
1172316		20883
1172318		20807
1172319		20807
1172320		20807
1172321		20807
1172325		20806
1172326		20806
1172327		20806
1172328		20806
1172329		20806
1172330		20806
1172332		20806
1204027		36840
1207768		37995
1217766		44044
1217768		44045
1221870		45475
1221871		45476
1221872		45476
1221873		45476
1221875		45476
